"TIME","CH1","CH2","CH3"
-1.7772e+00,-0.03,-0.02,-0.03
-1.7768e+00,-0.05,-0.01,-0.02
-1.7764e+00,-0.03,0.01,0.01
-1.7760e+00,-0.05,0.01,0
-1.7756e+00,-0.07,-0.01,-0.01
-1.7752e+00,-0.05,0,-0.02
-1.7748e+00,-0.05,0.01,-0.01
-1.7744e+00,-0.04,0,0
-1.7740e+00,-0.08,0.01,-0.01
-1.7736e+00,-0.08,0,-0.01
-1.7732e+00,-0.07,-0.03,-0.02
-1.7728e+00,-0.05,0,0
-1.7724e+00,-0.05,0.02,0.01
-1.7720e+00,-0.06,-0.02,0
-1.7716e+00,-0.08,0.01,-0.03
-1.7712e+00,-0.05,0,-0.01
-1.7708e+00,-0.01,0.02,0.01
-1.7704e+00,-0.01,0.03,0.01
-1.7700e+00,-0.01,0.02,0
-1.7696e+00,0.02,0,-0.01
-1.7692e+00,1.42109e-16,0,-0.01
-1.7688e+00,0.03,0.04,0.03
-1.7684e+00,0.03,0,0.02
-1.7680e+00,0.03,-0.01,-0.02
-1.7676e+00,0.03,-0.01,-0.01
-1.7672e+00,0.06,0.01,0
-1.7668e+00,0.05,0.02,0
-1.7664e+00,0.03,0.01,-0.02
-1.7660e+00,0.05,-0.01,-0.01
-1.7656e+00,0.07,-0.01,0
-1.7652e+00,0.08,-0.01,0.01
-1.7648e+00,0.08,0,0
-1.7644e+00,0.07,-0.01,0
-1.7640e+00,0.02,-0.02,-0.03
-1.7636e+00,0.03,-0.02,0.01
-1.7632e+00,0.06,0.02,0
-1.7628e+00,0.06,0.01,0
-1.7624e+00,0.03,-0.02,-0.02
-1.7620e+00,-0.03,-0.01,-0.02
-1.7616e+00,0.01,0,0.01
-1.7612e+00,0.03,0.01,-0.01
-1.7608e+00,1.42109e-16,0.02,0
-1.7604e+00,-0.05,-0.02,-0.01
-1.7600e+00,-0.06,-0.01,-0.03
-1.7596e+00,-0.04,0,0
-1.7592e+00,-0.04,0.01,0.01
-1.7588e+00,-0.04,0.01,0
-1.7584e+00,-0.06,-0.03,0
-1.7580e+00,-0.09,-0.02,-0.01
-1.7576e+00,-0.07,0,0.01
-1.7572e+00,-0.06,0.01,0.01
-1.7568e+00,-0.07,0.02,-0.01
-1.7564e+00,-0.06,-0.01,0
-1.7560e+00,-0.07,0,-0.01
-1.7556e+00,-0.05,0.02,0.02
-1.7552e+00,-0.02,0.02,0.01
-1.7548e+00,-0.05,-0.02,-0.03
-1.7544e+00,-0.03,0,-0.01
-1.7540e+00,-0.01,0.02,0
-1.7536e+00,1.42109e-16,0.01,0
-1.7532e+00,0.01,0.01,0
-1.7528e+00,-0.02,-0.01,-0.02
-1.7524e+00,0.01,-0.01,-0.01
-1.7520e+00,0.03,0.01,0
-1.7516e+00,0.06,0.02,0.01
-1.7512e+00,0.06,0,-0.01
-1.7508e+00,0.05,-0.01,-0.01
-1.7504e+00,0.04,0,0.01
-1.7500e+00,0.05,0,0
-1.7496e+00,0.06,0.02,0
-1.7492e+00,0.08,-0.01,0.01
-1.7488e+00,0.06,0.01,-0.01
-1.7484e+00,0.07,0.02,-0.02
-1.7480e+00,0.07,0.01,-0.02
-1.7476e+00,0.06,-0.01,-0.01
-1.7472e+00,0.01,0.01,-0.01
-1.7468e+00,0.03,0.01,0
-1.7464e+00,0.06,0.02,0
-1.7460e+00,0.02,0.01,0
-1.7456e+00,0.03,-0.01,0.01
-1.7452e+00,1.42109e-16,-0.03,-0.03
-1.7448e+00,-0.04,-0.02,0
-1.7444e+00,1.42109e-16,0,0
-1.7440e+00,1.42109e-16,0.01,-0.01
-1.7436e+00,-0.05,-0.04,-0.03
